id_comentario,contenido,fecha_comentario,usuario_id,publicacion_id
24,"Excelente explicación sobre el uso de JSON. Es mucho más sencillo
de manejar de lo que pensaba al inicio.",2025-02-10 23:00:00,20,29
25,"Gracias por el ejemplo de código. Me sirvió para corregir un error
que llevaba días intentando solucionar.",2025-02-11 00:00:00,6,20
26,"No conocía este enfoque para el manejo de amistades. Me parece muy
intuitivo y fácil de implementar.",2025-02-11 01:00:00,15,31
27,"Muy valioso el contenido. ¿Habrá una segunda parte sobre el uso
de ontologías en estos sistemas?",2025-02-11 02:00:00,18,47
28,"Gran trabajo. La forma en que presentas la información hace que los
temas técnicos sean mucho menos intimidantes.",2025-02-11 03:00:00,15,10
29,"Me queda una duda respecto a la consistencia final en Cassandra.
¿Cómo se garantiza en entornos de alta escritura?",2025-02-11 04:00:00,38,20
30,"Muy buen resumen. Es perfecto para repasar antes de la entrega
del proyecto final de semestre.",2025-02-11 05:00:00,23,22
31,"¡Excelente iniciativa! Ojalá sigan publicando más material de este tipo
para nuestra formación profesional.",2025-02-11 06:00:00,29,41
32,"He aprendido mucho con tus publicaciones. Gracias por tu dedicación
como profesor en el Politécnico.",2025-02-11 07:00:00,32,25
33,"¿Podrías recomendar algún recurso adicional para profundizar en
el modelado de datos con grafos?",2025-02-11 08:00:00,32,12
34,"Esta técnica de ETL es muy eficiente. Me ahorró horas de trabajo
manual con archivos CSV pesados.",2025-02-11 09:00:00,8,42
35,"Me gusta el estilo de enseñanza. Todo queda muy claro y es muy fácil
seguir el hilo conductor de tus explicaciones.",2025-02-11 10:00:00,49,49
36,"¿Cómo manejarías los fallos en la conexión con Redis si el servicio
se cae durante una consulta crítica?",2025-02-11 11:00:00,39,43
37,"Interesante punto. Nunca había visto una comparación tan clara entre
PostgreSQL y soluciones NoSQL.",2025-02-11 12:00:00,89,18
38,"Gracias por los consejos de diseño. Me ayudaron a mejorar mucho
la arquitectura de mi backend.",2025-02-11 13:00:00,38,14
39,"Muy completo. Me gusta cómo abordas tanto la teoría como la parte
práctica de la configuración de entornos.",2025-02-11 14:00:00,49,49
40,"Tengo una duda técnica: ¿Es mejor normalizar en Postgres o dejarlo
desnormalizado para mayor velocidad de lectura?",2025-02-11 15:00:00,14,32
41,"Excelente aclaración. Ahora entiendo mejor por qué es importante
validar los datos antes de insertarlos.",2025-02-11 16:00:00,10,28
42,"Muy buen aporte. La integración con PyQt6 es justo lo que estaba
buscando para mi interfaz gráfica.",2025-02-11 17:00:00,24,41
43,"Gracias por compartir esto. Es un gran complemento para las clases
teóricas que hemos visto hasta ahora.",2025-02-11 18:00:00,89,45
44,"¿Qué herramientas recomiendas para monitorear el rendimiento de las
consultas en MongoDB?",2025-02-11 19:00:00,20,6
45,"Me parece un diseño muy robusto. Es ideal para aprender sobre
la complejidad de las redes sociales.",2025-02-11 20:00:00,23,6
46,"El formato de las respuestas es muy claro. Sigue así, nos ayudas
mucho a todos los estudiantes.",2025-02-11 21:00:00,32,48
47,"Gracias por la guía. Me despejó muchas dudas que tenía sobre
cómo modelar las relaciones de amistad.",2025-02-11 22:00:00,15,37
48,"¿Es posible integrar esto con otros lenguajes como Java o PHP?
Me gustaría probarlo en otros entornos.",2025-02-11 23:00:00,10,48
49,"Qué buen ejemplo. La parte de los procedimientos almacenados me
resultó especialmente útil y reveladora.",2025-02-12 00:00:00,43,33
50,"Muy buen contenido. Espero con ansias las próximas publicaciones
para seguir aprendiendo sobre sistemas.",2025-02-12 01:00:00,6,12
